longitude,latitude,value,LandCover
142.77492,-16.76519,69.88605,10
144.91835,-16.76419,65.07736,10
142.22934,-16.76386,72.89381,10
142.26006,-16.76382,71.897804,10
142.67339,-16.7636,70.59186,10
142.41194,-16.76357,67.52352,10
142.23438,-16.76321,71.37934,10
142.24445,-16.7619,67.58566,10
142.24947,-16.76125,70.375984,10
142.75031,-16.76087,71.15495,10
142.67285,-16.75982,70.57686,10
142.59468,-16.75874,71.09642,10
142.24893,-16.75738,71.87442,10
142.66757,-16.75668,70.452614,10
142.6575,-16.75418,70.67113,10
142.43054,-16.75331,66.313416,10
142.77803,-16.75327,67.4517,10
142.57916,-16.75307,71.15146,10
142.58398,-16.75243,67.830215,10
142.65697,-16.7504,69.94955,10
142.7198,-16.74964,70.89982,10
142.72455,-16.749,67.70436,10
142.43491,-16.74884,69.792076,10
142.79156,-16.74761,70.89982,10
142.82956,-16.74627,65.58898,10
142.73347,-16.74396,70.90039,10
142.7623,-16.74391,69.42802,10
142.44418,-16.74372,70.624794,10
143.28627,-16.74348,64.913,10
142.73819,-16.74332,70.358,10
142.20589,-16.74317,70.40284,10
142.82436,-16.74316,63.597267,10
142.44908,-16.74307,70.23435,10
142.74292,-16.74269,72.72727,10
142.77171,-16.74264,64.27857,10
142.20282,-16.74251,71.7448,10
142.83369,-16.74189,68.68597,10
142.78581,-16.74073,68.46608,10
142.43874,-16.74053,70.010666,10
142.76178,-16.74015,72.43101,10
142.44365,-16.73989,70.71938,10
142.73766,-16.73956,71.600296,10
142.76648,-16.73951,72.513435,10
142.20534,-16.73928,64.42911,10
142.83316,-16.73815,66.88591,10
142.46323,-16.73732,67.02838,10
142.70819,-16.73583,65.36463,10
142.73714,-16.73579,72.39324,10
142.85181,-16.73562,64.44955,10
